"vertex_id";"station_name";"x";"y"
184;"上海图书馆";121.444;31.208
185;"杨高中路";121.549;31.2275
186;"武宁路";121.431;31.2343
187;"淞滨路";121.493;31.3709
188;"罗山路";121.593;31.1533
189;"嫩江路";121.532;31.3148
190;"黄兴公园";121.533;31.2958
191;"市光路";121.532;31.3227
192;"龙华中路";121.457;31.1851
193;"真北路";121.382;31.2322
194;"南翔";121.323;31.297
195;"云台路";121.5;31.1822
196;"爱国路";121.553;31.2798
197;"中山北路";121.459;31.2589
198;"桂林公园";121.42;31.167
199;"昌平路";121.443;31.2337
200;"浦电路(4号线)";121.532;31.2223
201;"大柏树";121.483;31.2894
202;"大渡河路";121.395;31.2318
203;"合川路";121.385;31.1665
204;"宝山路";121.476;31.2515
205;"海伦路";121.489;31.2593
206;"鲁班路";121.475;31.1992
207;"巨峰路";121.59;31.28
208;"汉中路";121.459;31.2407
209;"美兰湖";121.35;31.4019
210;"江浦路";121.518;31.2749
211;"西藏北路";121.469;31.2635
212;"松江大学城";121.233;31.054
213;"上海儿童医学中心";121.523;31.2033
214;"翔殷路";121.532;31.305
215;"锦绣路";121.54;31.1876
216;"虹桥路";121.421;31.1975
217;"南陈路";121.399;31.3214
218;"宜山路";121.427;31.1841
219;"东陆路";121.579;31.2825
220;"中潭路";121.441;31.2546
221;"三林";121.512;31.1432
222;"松江新城";121.231;31.0303
223;"东川路";121.42;31.0182
224;"惠南东";121.794;31.0264
225;"四平路";121.501;31.2749
226;"杨思";121.493;31.1611
227;"东兰路";121.392;31.1558
228;"三门路";121.508;31.3132
229;"金京路";121.615;31.2798
230;"书院";121.851;30.9593
231;"江苏路";121.431;31.2204
232;"港城路";121.575;31.353
233;"江杨北路";121.44;31.4079
234;"嘉定西";121.228;31.3771
235;"南京西路";121.462;31.2286
236;"秀沿路";121.598;31.1381
237;"交通大学";121.435;31.2022
238;"航津路";121.594;31.3354
239;"邮电新村";121.494;31.2685
240;"张江高科";121.588;31.2018
241;"洞泾";121.23;31.0845
242;"七宝";121.349;31.1553
243;"惠南";121.762;31.0538
244;"延长路";121.455;31.2717
245;"锦江乐园";121.414;31.1422
246;"高科西路";121.51;31.1858
247;"漕河泾开发区";121.398;31.1706
248;"中华艺术宫";121.494;31.1852
249;"文井路";121.381;31.0036
250;"世纪公园";121.551;31.2094
251;"殷高东路";121.507;31.3218
252;"曲阳路";121.491;31.2765
253;"东宝兴路";121.48;31.2599
254;"凌兆新村";121.49;31.1413
255;"佘山";121.23;31.1041
256;"大木桥路";121.464;31.1936
257;"龙阳路";121.557;31.203
